8086 10f5 e1y5132.sys e1yexpress
8086 10f6 e1q5132.sys e1qexpress
8086 10f7 ixn5132.sys %ServiceName%
8086 10f8 ixn5132.sys %ServiceName%
8086 10f9 ixn5132.sys %ServiceName%
8086 10fb ixn5132.sys %ServiceName%
8086 10fc ixn5132.sys %ServiceName%
8086 10fe fei5132.sys FEIExpress
8086 1229 e100bnt5.sys E100B
8086 1501 e1y5132.sys e1yexpress
8086 1502 e1c5132.sys e1cexpress
8086 1503 e1c5132.sys e1cexpress
8086 1507 ixn5132.sys %ServiceName%
8086 150a e1q5132.sys e1qexpress
8086 150b ixe5132.sys %ServiceName%
8086 150c e1q5132.sys e1qexpress
8086 150d e1q5132.sys e1qexpress
8086 150e e1r5132.sys e1rexpress
8086 150f e1r5132.sys e1rexpress
8086 1510 e1r5132.sys e1rexpress
8086 1514 ixn5132.sys %ServiceName%
8086 1516 e1r5132.sys e1rexpress
8086 1517 ixn5132.sys %ServiceName%
8086 1518 e1q5132.sys e1qexpress
8086 151c ixn5132.sys %ServiceName%
8086 1521 e1r5132.sys e1rexpress
8086 1522 e1r5132.sys e1rexpress
8086 1523 e1r5132.sys e1rexpress
8086 1524 e1r5132.sys e1rexpress
8086 1525 e1k5132.sys e1kexpress
8086 1526 e1q5132.sys e1qexpress
8086 1527 e1r5132.sys e1rexpress
8086 1528 ixt5132.sys %ServiceName%
8086 1529 ixn5132.sys %ServiceName%
8086 152a ixn5132.sys %ServiceName%
8086 154d ixn5132.sys %ServiceName%
8086 1557 ixn5132.sys %ServiceName%
8086 1a48 ixgb325.sys ixgb
8086 1b48 ixgb325.sys ixgb
8086 2449 e100bnt5.sys E100B
8086 2459 e100bnt5.sys E100B
8086 245d e100bnt5.sys E100B
8086 27dc e100bnt5.sys E100B
8086 294c e1e5132.sys e1express
feda a0fa bcm42xx5.sys BCM42XX
feda a10e bcm42xx5.sys BCM42CB
